sha256,changwat,constituency,polling_station,amphoe,tambon,rank1_votes,rank2_votes,vote_margin,margin_rate
90e3b76127a1185f63dfa082b04a3b223f80c0911e4477be1ce3c1a234a1b4c8,ลำปาง,1,6,เมือง,เวียงเหนือ,0,0,0,
1545296537816b1b23074f2fabb67f1def78e05c59e64d2c7144d988629eaf03,ลำปาง,1,3,น้ำผึ้ง,ตำบล/แขวง/เทศบาล 20,520,520,0,0.0
720c001ba97d9faec9b2d4fb0bfcc7723ca085e932319c0651fb548c2d1fa9ee,ลำปาง,1,24,เชิงเมือง,หัวเวียง,259,259,0,0.0
6c7f86676fedd26b8329784d7de803f103e595efc238f0dfd0e9d341e426d722,ลำปาง,1,10,เมือง,นิคมพัฒนา,0,0,0,
65c410a07494decd3a70d7b7036f193afb37dec6bc0d521f64eb1dfe0c171e0d,ลำปาง,1,4,เพิ่มลำปาง,ป่านคำ,0,0,0,
47450f13216126e0d3bbeb2b9265713ab938b7363c7b53476e859481222362cf,ลำปาง,1,2,ห้างฉัตร,วอแก้ว,60,60,0,0.0
b51359796f2db407ef021ab13cd3752f01d6973d478084a2bd49065a848dde12,ลำปาง,1,2,เมืองลำปาง,หนองคาย,0,0,0,
11ae4f7d0e5d309a9587bdc34d701ad66943da25c4c8d55c97488a96ef47135c,ลำปาง,1,4,เมืองลำปาง,ทุ่มฟาย,0,0,0,
f7f5874cdadc00284fd2dad3f3108e3902883c1eadc07871375fff1e4758ac91,ลำปาง,1,14,เมือง,นิคมพัฒนา,0,0,0,
5e61b82fe0143795b691c26d2c7ee499b4730f1da22032c6eac4f7bc3bdc4a9c,ลำปาง,1,74,เมืองฯ,ธมฟ,0,0,0,
88dd20ad6b1ca17bcb15bb65b7a2a240f248d00e9eb08c7a6d653584a745a541,ลำปาง,1,1,เมืองลำปาง,ท่าอิฐ,0,0,0,
0fa050cff60539a7f7ec4d5d6b899ad529d3af29973040bcff4552c132549daa,ลำปาง,1,9,หัวเมืองฯ,หนองฉัตร,155,155,0,0.0
b81bcb85ba108a88c00c42c62d1f36b1abf3bff7fa76547e99152e4e403c3870,ลำปาง,1,4,เมือง,ทุ่งลาย,339,339,0,0.0
cc929af275dabd5524d8089146088342e641ab78758187c86735e08070231e22,ลำปาง,1,15,เมืองลำปาง,ม่อแก้ว,0,0,0,
baf0ed3e20a8d225d0af5c89890cb44004232436fec926d171a80f80c9aef8c7,ลำปาง,1,80,เมือง,ฟอแฮ่,0,0,0,
fe401d0ad8d5e1b76e447924610c5eb6050821df4fe06ac5afc8d3ef6c4db3ff,ลำปาง,1,7,เมือง,สามเสนชัย,30,30,0,0.0
59694acc0c8db29b66119e6d9dc7968edb3ad8de1fd90ddad7167771f4e9c15e,ลำปาง,1,3,เชียงใหม่,เวียงเหนือ,8,8,0,0.0
fd6dfbcc8bc97132a8e9122d7653e0c24fc7394e117e759ba0e7bc83fd47a4d8,ลำปาง,1,7,เมือง,มานค่า,0,0,0,
593b4119792da918ea5438e0af84be51673d85daf1a2c371a1f48cbb19842d02,ลำปาง,1,1,เมืองฯ,บ่อแล้ว,0,0,0,
dc0da65e13f578deb9399173586791eb00767a712bf95f8583ea71905ea4830f,ลำปาง,1,6,อำเภอ/เขต กำจัด,กำจัด,276,276,0,0.0
049c9f74ec9652571bf1e6400aa1f9f19df0aef7e90bbc8957b17b84e816f297,ลำปาง,1,4,เมืองลำปาง,มอแซ็ค,0,0,0,
fe614a8c7f105e07fa0661bcb27896de1f643efb8122ec7f86541f397e933576,ลำปาง,1,11,เมือง,ม้านเป้า,0,0,0,
d202b0b49dec6ef57ea3b99a999ba697c27d72c68d3f6f44ccfde858eabbef3b,ลำปาง,1,71,เพื่อง,ธมห.,0,0,0,
036e9e16eee28cfa08249f71df5309eaf66214daf3ccfc16af70d7ed43d66e9b,ลำปาง,1,14,เมือง,เขื่องเหนือ,0,0,0,
481e86f3371b3724ad41a9eff152f9bb22d7b93d3682aed17e1b9538a3a6a754,ลำปาง,1,25,เมืองพิมาย,หัวเมือง,0,0,0,
026bc520371aa02d8850f4591fc02f918e074dcb52bbbcfccf3c2b329cea3b0d,ลำปาง,1,8,เมืองลำปาง,30,0,0,0,
c28552236c9b1ad014c2ac088c1c72796ec32ca3af7e566f5c370f747490fd26,ลำปาง,1,13,เชียงดาว,เชียงตาล,305,305,0,0.0
ae32d48e0074c0e8addaa714ea76ea4ed412a906bd832694b4febf2e56cd4ad7,ลำปาง,1,2,เมือง,ป้อมยานพาหนะ,150,149,1,0.006666666666666667
959a20db48daf8077e00d117eae8f4dcd45a0338b2ce51e14505fc0de334015f,ลำปาง,1,9,เขตเลือกตั้งที่ ๑๑,มูลนายพิชชา,91,90,1,0.01098901098901099
7858339e0c53929496e2f002584eb3593946238d0ac729e02bcbc326a64ad1ff,ลำปาง,1,3,ฝั่งซ้าย,ม้านป่า,37,36,1,0.02702702702702703
