sha256,changwat,constituency,polling_station,amphoe,tambon,choice_number,choice_name,choice_label,votes,ballots_valid,station_vote_share,turnout_rate,invalid_rate,validation_passed
b710a1ffb44d72d3832c7fb67b7f2596e4a91082308d7fab15e2bd84f692b3fe,ลำปาง,1,9,ไม่ระบุ,ไม่ระบุ,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,555,688,0.8066860465116279,,,False
3851312c1f22be0e2b57ae6f0e151fe62725481944671101964c2847ffd1ab80,ลำปาง,1,1,ลำปาง,ศึกษาพิทยากร,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,543,694,0.7824207492795389,1.0,0.011842105263157895,False
49f392537c0ead481c2cfa42016e55d6f19312e69652a4e8d41f1b52f35ac81d,ลำปาง,1,1,เมืองลำปาง,เตรียมมูล,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,538,682,0.7888563049853372,1.0,0.010526315789473684,True
37267c6d8b6d7f433f1467e2b52876496cb72afd2887c0a8d0a38ef3d7f8902a,ลำปาง,1,1478,ไม่ระบุ,ไม่ระบุ,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,535,692,0.773121387283237,1.0,0.0,True
755abe3496e46301d6d88eadf9e93cf683bdec598e1742721aa4c57e3f7e9869,ลำปาง,1,7,เชียงคำ,เชิงมูล,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,524,686,0.7638483965014577,0.9026315789473685,0.016034985422740525,False
c8265d6985042ff384b638d5ec8abe525b97c06d6e7712407215094ed745d9a3,ลำปาง,1,55,อ่างทอง,เขตเลือกตั้งที่ 1,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,523,689,0.7590711175616836,,,False
1309d73412f5745585dac47b75f3ca176bfa701353cde2cb20d6e57a61f92106,ลำปาง,1,1,เขตเลือกตั้งที่ 1,โรงเรียนเตรียมอุดมศึกษา,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,523,689,0.7590711175616836,1.0,0.019230769230769232,False
1545296537816b1b23074f2fabb67f1def78e05c59e64d2c7144d988629eaf03,ลำปาง,1,3,น้ำผึ้ง,ตำบล/แขวง/เทศบาล 20,4,นายกิตติกร โล่ห์สุนทร,พรรคเพื่อไทย,520,520,1.0,1.4207920792079207,0.059233449477351915,False
f7b1a96b7dd6f9037fc0b087c6b39579b5434c5ebf9ee2abe527689d3bc92212,ลำปาง,1,1,เขตเลือกตั้งที่ 1,เตรียมอุดมศึกษา,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,505,693,0.7287157287157288,1.0,0.006578947368421052,False
d16bdc35f1ce9bd0896373b0b0c81d0f5197f3a25762664492d83741d4334ea5,ลำปาง,1,1,,,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,505,677,0.7459379615952733,1.0,0.009210526315789473,True
3789fe69af02b1e8e55e3f516674a4ecb82ea8572184cc287096ab24d79f39af,ลำปาง,1,1,,,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,504,672,0.75,,,False
bf6c8e3ee476ab8ebdc2cab86e03480454c7664792e4e5b507959cd0e886f6d2,ลำปาง,1,8,เขตลำปาง,เรอดิมอุดม,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,499,676,0.7381656804733728,1.0,0.013157894736842105,False
39a2fd4a602590960760416ec85fd938cd7d137aeb680bb90ca3dd1d3b257890,ลำปาง,1,1,,,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,489,678,0.7212389380530974,1.0,0.025,False
49362652f996085eef8ff131069234b3b3b5cd8e9d6ef2818b3d06b29741ad22,ลำปาง,1,3,ห้างฉกรรจ์,หนองหล่ม,1,นายอธิวัฒน์ ศรีไชยยานุพันธ์,พรรคคล้ายธรรม,466,466,1.0,0.71671388101983,0.02766798418972332,True
