changwat,constituency,amphoe,tambon,station_count,voters_registered,voters_present,ballots_used,ballots_valid,ballots_invalid,ballots_no_vote,turnout_rate,invalid_rate,no_vote_rate
ลำปาง,1,เมือง,พระบาท,10,5028,3265,3265,2854,89,307,0.6493635640413683,0.027258805513016845,0.09402756508422665
ลำปาง,1,เมือง,นิคมพัฒนา,7,1763,1553,1533,1368,70,87,0.8808848553601815,0.04507405022537025,0.056020605280103025
ลำปาง,1,เมือง,สวนดอก,4,1232,773,1030,893,37,100,0.627435064935065,0.047865459249676584,0.129366106080207
ลำปาง,1,เมือง,หัวเวียง,4,1694,1142,1142,1058,13,88,0.6741440377804014,0.01138353765323993,0.07705779334500876
ลำปาง,1,,,3,1120,1120,1880,2027,19,234,1.0,0.016964285714285713,0.20892857142857144
ลำปาง,1,เมือง,บ้านเป้า,3,1139,816,816,736,77,43,0.7164179104477612,0.09436274509803921,0.05269607843137255
ลำปาง,1,เมือง,บ้านเอื้อม,3,1226,1138,1138,1018,69,49,0.9282218597063622,0.06063268892794376,0.04305799648506151
ลำปาง,1,เมืองลำปาง,นิคมพัฒนา,3,1016,677,677,603,35,39,0.6663385826771654,0.051698670605613,0.05760709010339734
ลำปาง,1,เมืองลำปาง,เวียงเหนือ,3,971,631,943,825,36,2103,0.6498455200823893,0.05705229793977813,3.3328050713153723
ลำปาง,1,เมือง,ม้านเป้า,2,974,735,735,646,28,63,0.7546201232032854,0.0380952380952381,0.08571428571428572
ลำปาง,1,เมือง,เขื่อนเหนือ,2,889,734,734,617,47,80,0.8256467941507312,0.06403269754768393,0.10899182561307902
ลำปาง,1,ห้างฉัตร,หนองหล่ม,2,970,702,712,641,346,29,0.7237113402061855,0.4928774928774929,0.04131054131054131
ลำปาง,1,เมือง,บ้านเชื่อม,2,434,321,771,855,514,511,0.7396313364055299,1.601246105919003,1.5919003115264798
ลำปาง,1,เมือง,นครลำปาง,2,1098,627,687,603,104,224,0.5710382513661202,0.16586921850079744,0.3572567783094099
ลำปาง,1,อำเภอ/เขต เมือง,ตำบล/แขวง/เทศบาล,2,576,613,613,534,16,63,1.0642361111111112,0.026101141924959218,0.10277324632952692
ลำปาง,1,อำเภอ/เขต,ตำบล/แขวง/เทศบาล,2,826,701,919,839,21,59,0.8486682808716707,0.029957203994293864,0.08416547788873038
ลำปาง,1,ห้างฉัตร,เมืองยาว,2,714,528,528,475,29,24,0.7394957983193278,0.054924242424242424,0.045454545454545456
ลำปาง,1,ห้างฉัตร,ออแก้ว,2,1046,726,726,642,42,42,0.6940726577437859,0.05785123966942149,0.05785123966942149
ลำปาง,1,ไม่ระบุ,ไม่ระบุ,2,760,760,1240,1380,30,88,1.0,0.039473684210526314,0.11578947368421053
ลำปาง,1,น้ำจุกรา,เมืองฯ,1,374,293,293,261,26,12,0.7834224598930482,0.08873720136518772,0.040955631399317405
ลำปาง,1,เมือง,เวียงเหนือ,1,446,281,281,245,7,29,0.6300448430493274,0.02491103202846975,0.10320284697508897
ลำปาง,1,เมือง,สบค.,1,457,284,284,245,13,26,0.6214442013129103,0.045774647887323945,0.09154929577464789
ลำปาง,1,เมือง,สบุ๋ย,1,345,210,210,178,6,26,0.6086956521739131,0.02857142857142857,0.12380952380952381
ลำปาง,1,เมือง,สมชัย,1,526,344,344,290,8715,39,0.6539923954372624,25.334302325581394,0.11337209302325581
ลำปาง,1,เมือง,สยชุ่ย,1,450,285,285,257,9,19,0.6333333333333333,0.031578947368421054,0.06666666666666667
ลำปาง,1,กำแพงเมือง,เมืองกำแพงเพชร,1,100,0,76,76,1,20,0.0,,
ลำปาง,1,เมือง,สวนสุข,1,62,429,429,369,16,44,6.919354838709677,0.037296037296037296,0.10256410256410256
ลำปาง,1,เมือง,สามชัย,1,464,323,323,286,19,18,0.6961206896551724,0.058823529411764705,0.05572755417956656
ลำปาง,1,เมือง,สามย่าน,1,519,335,335,282,20,33,0.6454720616570327,0.05970149253731343,0.09850746268656717
ลำปาง,1,เมือง,สามเสนชัย,1,40,60,60,55,10,50,1.5,0.16666666666666666,0.8333333333333334
ลำปาง,1,เมือง,สำโรงชัย,1,498,344,344,306,12,26,0.6907630522088354,0.03488372093023256,0.0755813953488372
ลำปาง,1,เมือง,สิบสาม,1,640,473,473,382,13,28,0.7390625,0.02748414376321353,0.05919661733615222
ลำปาง,1,เมือง,สิบเอ็ด,1,346,226,226,198,7,21,0.653179190751445,0.030973451327433628,0.09292035398230089
ลำปาง,1,เมือง,สุขุมวิทย์,1,378,258,258,258,7,25,0.6825396825396826,0.027131782945736434,0.09689922480620156
ลำปาง,1,เมือง,สุขใจ,1,66,44,445,390,12,43,0.6666666666666666,0.2727272727272727,0.9772727272727273
ลำปาง,1,เมือง,หนองชัย,1,677,455,495,368,31,56,0.672082717872969,0.06813186813186813,0.12307692307692308
ลำปาง,1,เมือง,หัวเมือง,1,630,478,478,403,33,403,0.7587301587301587,0.06903765690376569,0.8430962343096234
ลำปาง,1,เมือง,หัวเรื่อง,1,303,187,181,159,4,18,0.6171617161716172,0.0213903743315508,0.0962566844919786
ลำปาง,1,กำแพงเพชร,เมืองฯ,1,496,379,345,351,23,97,0.7641129032258065,0.06068601583113457,0.2559366754617414
ลำปาง,1,เมือง,หิมพานยา,1,441,293,293,278,14,21,0.6643990929705216,0.04778156996587031,0.07167235494880546
ลำปาง,1,เมือง,ห้องจ่าย,1,469,281,281,259,5,17,0.5991471215351812,0.017793594306049824,0.060498220640569395
ลำปาง,1,เมือง,ห้ามนำ,1,492,298,298,265,11,22,0.6056910569105691,0.03691275167785235,0.0738255033557047
ลำปาง,1,เมือง,เกียวเหนือ,1,406,264,264,220,10,34,0.6502463054187192,0.03787878787878788,0.12878787878787878
ลำปาง,1,เมือง,เขื่องเหนือ,1,358,220,220,200,57,18,0.6145251396648045,0.2590909090909091,0.08181818181818182
ลำปาง,1,กำแพงเพชร,ปอดดาล,1,640,473,473,405,22,48,0.7390625,0.046511627906976744,0.1014799154334038
ลำปาง,1,เมือง,เชียงเหนียว,1,374,552,252,216,6,30,1.4759358288770053,0.010869565217391304,0.05434782608695652
ลำปาง,1,เมือง,เชียงใหม่,1,350,352,352,299,15,38,1.0057142857142858,0.04261363636363636,0.10795454545454546
ลำปาง,1,เมือง,เพชร,1,704,456,456,402,10,38,0.6477272727272727,0.021929824561403508,0.08333333333333333
ลำปาง,1,เมือง,สงขลา,1,569,344,344,302,8,34,0.6045694200351494,0.023255813953488372,0.09883720930232558
ลำปาง,1,ขำฉ้อครู,ปะนาเถา,1,460,336,336,277,32,27,0.7304347826086957,0.09523809523809523,0.08035714285714286
ลำปาง,1,เมือง,ม้านเข้า,1,192,138,138,120,4,14,0.71875,0.028985507246376812,0.10144927536231885
