sha256,voting_type,station_id,tambon,amphoe,changwat,constituency,polling_station,election_date,voters_registered,voters_present,ballots_allocated,ballots_used,ballots_valid,ballots_invalid,ballots_no_vote,ballots_remaining,total_votes,validation_passed,turnout_rate,valid_rate,invalid_rate,no_vote_rate
485a4f6487bf6914fceb4af505c8a51aac273cd6ccf4acbce8b5279bdfe782c8,election_day,,เมืองกำแพงเพชร,กำแพงเมือง,ลำปาง,1,4,2026-02-28,100,0,100,76,76,1,20,0,76,False,0.0,,,
dbc4c0b2a26746b4adddf8a34a0b0d25038c520ce54818e643cf87ab3a0a027e,election_day,,บ้านค่ำ,เมืองลำปาง,ลำปาง,1,4,2026-02-28,418,1,400,273,233,19,21,127,233,False,0.0023923444976076554,233.0,19.0,21.0
20762d806946911999df94d78fe0de728a12f4d10b29981942d7884063ba7915,election_day,,นครลำปาง,เมืองฯ,ลำปาง,1,62,2026-02-08,364,23,320,236,196,9,31,84,196,True,0.06318681318681318,8.521739130434783,0.391304347826087,1.3478260869565217
7f137eed6f377f146c9ef9813da1cc45cbe69cc0a6d5cf8500da3f4af727cb7e,election_day,,สำเนาถ่าย,เชียงราย,ลำปาง,1,13,2026-02-02,785,113,840,113,539,34,40,227,539,False,0.14394904458598726,4.769911504424779,0.3008849557522124,0.35398230088495575
3898fb34aa3933c6434865bad56071f7a72e015549c098d0bcf78117a9141ec1,election_day,,เชิงคาม,หาดใหญ่,ลำปาง,1,9,2026-02-08,297,47,700,494,425,36,206,206,425,False,0.15824915824915825,9.042553191489361,0.7659574468085106,4.382978723404255
d1c281c88f6cd4384b4bac85d6a96a4bd6c6d03b9a2e693a81878bb995dae648,election_day,,บางเขน,ลำปาง,ลำปาง,1,7,2026-02-28,791,401,780,371,401,41,39,209,401,False,0.506953223767383,1.0,0.10224438902743142,0.09725685785536159
bf2f8ba9edc587b4a1419b1fdf04f57acaf8420458bb69a2d599e3fdd2bc72b9,election_day,,ต้น ธงชัย,เมืองลำปาง,ลำปาง,1,12,2026-02-28,766,390,740,590,501,50,39,150,501,True,0.5091383812010444,1.2846153846153847,0.1282051282051282,0.1
3a398a269aea36000a976d9a47f6584f2e9a54690c55ff0df63a42d46851775b,election_day,,นครลำปาง,เมือง,ลำปาง,1,31,2026-02-28,742,400,660,460,404,100,200,200,404,False,0.5390835579514824,1.01,0.25,0.5
54ad986c646bcf57122481890350057510ce1e6c8a963012e62a3d57b4acd744,election_day,,ปางยางคก,ห้างฉัตร,ลำปาง,1,3,2026-02-28,467,259,460,259,240,2,17,201,240,True,0.5546038543897216,0.9266409266409267,0.007722007722007722,0.06563706563706563
c672553f4a4460b160ac2fa08075035d74913d315e9c04d7ae33b5f02234cf90,election_day,,ตำบล/แขวง/เทศบาล,อำเภอ/เขต เมือง,ลำปาง,1,50,2026-02-28,529,294,460,294,263,5,26,166,263,True,0.555765595463138,0.8945578231292517,0.017006802721088437,0.08843537414965986
