จังหวัด,เขต,อำเภอ,ตำบล,จํานวนหน่วย,ผู้มีสิทธิ,มาใช้สิทธิ,บัตรใช้ไป,บัตรดี,บัตรเสีย,บัตรไม่เลือก,1. ไทยทรัพย์ทวี,2. เพื่อชาติไทย,3. ใหม่,4. มิติใหม่,5. รวมใจไทย,6. รวมไทยสร้างชาติ,7. พลวัต,8. ประชาธิปไตยใหม่,9. เพื่อไทย,10. ทางเลือกใหม่,11. เศรษฐกิจ,12. เสรีรวมไทย,13. รวมพลังประชาชน,14. ท้องที่ไทย,15. อนาคตไทย,16. พลังเพื่อไทย,17. ไทยชนะ,18. พลังสังคมใหม่,19. สังคมประชาธิปไตยไทย,20. ฟิวซัน,21. ไทรวมพลัง,22. ก้าวล่วง,23. ปวงชนไทย,24. วิชชั่นใหม่,25. เพื่อชีวิตใหม่,26. คลองไทย,27. ประชาธิปัตย์,28. ไทยก้าวหน้า,29. ไทยภักดี,30. แรงงานสร้างชาติ,31. ประชากรไทย,32. ครูไทยเพื่อประชาชน,33. ประชาชาติ,34. สร้างอนาคตไทย,35. รักชาติ,36. ไทยพร้อม,37. ภูมิใจไทย,38. พลังธรรมใหม่,39. กรีน,40. ไทยธรรม,41. แผ่นดินธรรม,42. กล้าธรรม,43. พลังประชารัฐ,44. โอกาสใหม่,45. เป็นธรรม,46. ประชาชน,47. ประชาไทย,48. ไทยสร้างไทย,49. ไทยก้าวใหม่,50. ประชาอาสาชาติ,51. พร้อม,52. เครือข่ายชาวนาแห่งประเทศไทย,53. ไทยพิทักษ์ธรรม,54. ความหวังใหม่,55. ไทยรวมไทย,56. เพื่อบ้านเมือง,57. พลังไทยรักชาติ
ลำปาง,1,,,8,1520,1520,6059,5152,25,210,340,406,145,2,4,42,6,13,432,16,60,7,12,0,2,5,0,1,0,0,2,0,0,2,0,1,155,8,24,1,0,1,0,2,6,0,395,9,3,1,10,9,2,4,5,3348,556,28,22,1,4,0,0,0,0,0,0
ลำปาง,1,,ทุ่งฝาย,1,579,409,409,346,39,24,10,3,4,12,4,3,3,4,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,4,0,0,0,2,0,2,0,132,1,3,2,0,0,0,0,0,0,0,0
ลำปาง,1,กำแพงเพชร,ปอดดาล,1,640,473,473,425,17,31,0,6,3,8,5,3,1,3,113,9,16,1,4,0,0,3,1,0,0,1,0,0,0,1,0,0,20,0,6,0,1,0,0,0,1,0,45,0,0,1,0,13,1,1,0,160,1,1,3,0,0,0,0,0,0,0,0
ลำปาง,1,กำแพงเพชร,ป้อมเจ้าหลวง,1,598,398,398,371,5,22,1,4,0,0,2,9,0,6,55,1,9,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,24,1,10,3,0,1,0,0,0,0,60,1,0,0,1,2,1,0,9,0,0,0,4,0,0,0,0,0,0,0,1
ลำปาง,1,กำแพงเพชร,หัวจังหวัด,1,474,493,487,443,20,39,3,17,1,6,6,5,0,6,104,2,25,2,4,0,0,2,1,0,0,1,0,1,1,0,0,0,8,0,5,1,0,0,2,0,1,0,51,0,0,0,0,3,0,1,1,180,2,0,0,0,0,0,0,1,0,0,0
ลำปาง,1,กำแพงเพชร,เมือง,1,496,379,349,358,67,9,1,12,0,8,2,4,2,0,147,0,8,2,7,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,2,2,1,0,12,5,0,6,0,0,1,2,2,127,0,0,3,0,0,0,0,0,0,0,0
ลำปาง,1,กำแพงเพชร,เมืองพิมล,1,672,436,436,397,39,12,4,7,2,14,7,6,0,6,151,5,9,0,3,1,1,1,0,0,0,0,0,0,0,1,0,2,10,0,0,2,2,0,1,1,1,0,32,2,0,0,0,0,0,0,0,11,0,2,2,0,0,1,0,0,0,0,0
ลำปาง,1,กำแพงเพชร,เมืองยาง,1,43,344,344,320,77,7,3,21,2,6,2,3,1,1,107,0,0,3,2,1,0,4,0,0,0,0,0,0,0,1,0,1,10,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ลำปาง,1,จังหวัดลำปาง,สยาม อิมพานาชาลัย,1,413,274,274,252,10,12,0,9,0,2,0,10,0,6,39,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,2,0,1,0,0,1,1,0,47,1,0,0,2,0,0,0,102,0,3,2,0,0,0,0,0,1,0,0,0
ลำปาง,1,ถลาง,เชิงทะเล,5,1420,1199,1986,1937,342,107,4,42,6,30,12,17,5,16,387,6,49,8,21,91,4,7,4,2,0,1,1,0,11,1,0,3,37,84,5,3,4,1,4,4,1,2,146,4,0,0,2,9,6,15,189,643,11,7,5,1,1,0,0,1,2,1,4
