changwat,constituency,amphoe,tambon,station_count,voters_registered,voters_present,ballots_used,ballots_valid,ballots_invalid,ballots_no_vote,turnout_rate,invalid_rate,no_vote_rate
ลำปาง,1,เมือง,พระบาท,9,4406,2867,2917,2616,395,2017,0.6507035860190649,0.13777467736309731,0.7035228461806766
ลำปาง,1,,,8,1520,1520,6059,5152,25,210,1.0,0.01644736842105263,0.13815789473684212
ลำปาง,1,เมือง,นิคมพัฒนา,6,1455,1315,1300,1203,46,54,0.9037800687285223,0.0349809885931559,0.04106463878326996
ลำปาง,1,ถลาง,เชิงทะเล,5,1420,1199,1986,1937,342,107,0.8443661971830986,0.28523769808173477,0.08924103419516263
ลำปาง,1,เมืองลำปาง,เวียงเหนือ,4,1916,1213,1213,1172,44,2978,0.6330897703549061,0.036273701566364384,2.455070074196208
ลำปาง,1,เมือง,สวนดอก,4,1232,1030,1030,986,29,56,0.836038961038961,0.02815533980582524,0.05436893203883495
ลำปาง,1,เมืองลำปาง,นิคมพัฒนา,3,1016,677,677,629,22,25,0.6663385826771654,0.03249630723781388,0.03692762186115214
ลำปาง,1,เมือง,หัวเวียง,3,1136,688,688,637,9,43,0.6056338028169014,0.01308139534883721,0.0625
ลำปาง,1,เมือง,บ้านเอื้อม,3,1072,1049,1049,983,80,33,0.9785447761194029,0.07626310772163966,0.03145853193517636
ลำปาง,1,เมือง,บ้านเป้า,3,1210,858,840,797,21,34,0.7090909090909091,0.024475524475524476,0.039627039627039624
ลำปาง,1,ไม่ระบุ,ไม่ระบุ,3,1520,1520,2253,1908,7,65,1.0,0.004605263157894736,0.04276315789473684
ลำปาง,1,เมืองลำปาง,บ้านค่า,2,1149,791,791,728,23,37,0.6884247171453438,0.029077117572692796,0.04677623261694058
ลำปาง,1,เมือง,นครลำปาง,2,1100,687,687,630,12,44,0.6245454545454545,0.017467248908296942,0.06404657933042213
ลำปาง,1,เมือง,ม่อแร้ง,2,778,538,541,493,17,31,0.6915167095115681,0.031598513011152414,0.05762081784386617
ลำปาง,1,ห้างฉัตร,ห้างฉัตร,2,1186,834,834,758,32,44,0.7032040472175379,0.03836930455635491,0.05275779376498801
ลำปาง,1,เมือง,คันธรชัย,2,1384,1003,1043,841,71,71,0.7247109826589595,0.0707876370887338,0.0707876370887338
ลำปาง,1,เมืองลำปาง,หัวเวียง,2,859,527,527,493,250,270,0.6135040745052387,0.47438330170777987,0.5123339658444023
ลำปาง,1,เมือง,ธมพ,2,1063,862,864,764,43,55,0.8109125117591721,0.04988399071925754,0.06380510440835267
ลำปาง,1,เมือง,เวียงเหนือ,2,982,868,618,614,17,37,0.8839103869653768,0.019585253456221197,0.04262672811059908
ลำปาง,1,เมือง,สมุย,2,723,528,468,449,241,32,0.7302904564315352,0.4564393939393939,0.06060606060606061
ลำปาง,1,เมืองลำปาง,คันธรชัย,2,1461,1057,1057,960,48,49,0.7234770704996578,0.04541154210028382,0.046357615894039736
ลำปาง,1,เมือง,สุขใจ,2,1006,671,671,603,24,44,0.6669980119284294,0.03576751117734724,0.06557377049180328
ลำปาง,1,เมือง,มาน้ำเมือง,1,307,227,227,199,17,11,0.739413680781759,0.07488986784140969,0.048458149779735685
ลำปาง,1,เมือง,ม้านเน้า,1,701,524,524,426,98,98,0.7475035663338089,0.18702290076335878,0.18702290076335878
ลำปาง,1,เมือง,มาน้ำ เชื้อม,1,381,268,268,244,17,7,0.7034120734908137,0.06343283582089553,0.026119402985074626
ลำปาง,1,เมือง,มาน้ำ,1,192,138,138,145,3,10,0.71875,0.021739130434782608,0.07246376811594203
ลำปาง,1,เมือง,มานเรียม,1,669,513,513,461,27,25,0.7668161434977578,0.05263157894736842,0.04873294346978557
ลำปาง,1,เมือง,มิตรพัฒนา,1,308,233,233,219,7,7,0.7564935064935064,0.030042918454935622,0.030042918454935622
ลำปาง,1,เมือง,มูลพาดฟรมาก,1,372,278,278,249,16,13,0.7473118279569892,0.05755395683453238,0.046762589928057555
ลำปาง,1,เมือง,ม้านเจียม,1,757,540,540,596,34,10,0.71334214002642,0.06296296296296296,0.018518518518518517
ลำปาง,1,ทางจุฬาฯ,บางคล้า,1,400,400,400,391,3,6,1.0,0.0075,0.015
ลำปาง,1,เมือง,ยุพานาคพัฒนา,1,300,228,228,207,9,12,0.76,0.039473684210526314,0.05263157894736842
ลำปาง,1,เมือง,ม้านเป้า,1,273,211,211,195,7,9,0.7728937728937729,0.03317535545023697,0.04265402843601896
ลำปาง,1,เมือง,ม้านเอย,1,40,20,203,551,28,29,0.5,1.4,1.45
ลำปาง,1,เมือง,มานิจฉัย,1,205,136,136,171,3,2,0.6634146341463415,0.022058823529411766,0.014705882352941176
ลำปาง,1,เมือง,ลาดสว่าง,1,211,156,156,135,7,14,0.7393364928909952,0.04487179487179487,0.08974358974358974
ลำปาง,1,เมือง,สบคีย,1,615,720,420,389,5,26,1.170731707317073,0.006944444444444444,0.03611111111111111
ลำปาง,1,เมือง,สบป.ย,1,457,284,284,255,12,17,0.6214442013129103,0.04225352112676056,0.05985915492957746
ลำปาง,1,เมือง,สมคุย,1,526,347,344,307,19,18,0.6596958174904943,0.05475504322766571,0.05187319884726225
ลำปาง,1,เมือง,สมพู,1,526,307,349,320,13,14,0.5836501901140685,0.04234527687296417,0.04560260586319218
ลำปาง,1,เมือง,สมเด็จ,1,692,429,429,391,11,27,0.619942196531792,0.02564102564102564,0.06293706293706294
ลำปาง,1,เมือง,สยชุ่ย,1,450,285,285,257,9,19,0.6333333333333333,0.031578947368421054,0.06666666666666667
ลำปาง,1,กำแพงเพชร,เมือง,1,496,379,349,358,67,9,0.7641129032258065,0.17678100263852242,0.023746701846965697
ลำปาง,1,เมือง,สวนใหญ่,1,360,267,267,240,3,21,0.7416666666666667,0.011235955056179775,0.07865168539325842
ลำปาง,1,เมือง,มานิชอน,1,368,255,255,227,41,17,0.6929347826086957,0.1607843137254902,0.06666666666666667
ลำปาง,1,เมือง,ฟ้าฮ่าม,1,626,412,412,375,21,16,0.65814696485623,0.050970873786407765,0.038834951456310676
ลำปาง,1,เมือง,มานตา,1,648,514,514,480,21,13,0.7932098765432098,0.04085603112840467,0.02529182879377432
ลำปาง,1,เมือง,ป้อมยิ้ม,1,660,479,469,449,5,33,0.7257575757575757,0.010438413361169102,0.06889352818371608
ลำปาง,1,เมือง,บ้านข้า,1,405,306,306,279,12,15,0.7555555555555555,0.0392156862745098,0.049019607843137254
ลำปาง,1,เมือง,บ้านเชื่อม,1,360,271,271,252,11,8,0.7527777777777778,0.04059040590405904,0.02952029520295203
ลำปาง,1,จังหวัดลำปาง,สยาม อิมพานาชาลัย,1,413,274,274,252,10,12,0.6634382566585957,0.0364963503649635,0.043795620437956206
ลำปาง,1,เมือง,บ้านเมือง,1,630,448,448,413,33,0,0.7111111111111111,0.07366071428571429,0.0
ลำปาง,1,เมือง,บ้านเลื้อม,1,477,346,346,326,10,10,0.7253668763102725,0.028901734104046242,0.028901734104046242
ลำปาง,1,กำแพงเพชร,เมืองยาง,1,43,344,344,320,77,7,8.0,0.2238372093023256,0.020348837209302327
ลำปาง,1,เมือง,ปอดแวก,1,841,551,551,505,40,66,0.6551724137931034,0.07259528130671507,0.11978221415607986
ลำปาง,1,เมือง,ปอเรือง,1,479,352,352,319,17,16,0.7348643006263048,0.048295454545454544,0.045454545454545456
ลำปาง,1,เมือง,ปอแซ่,1,708,507,507,439,24,44,0.7161016949152542,0.047337278106508875,0.08678500986193294
ลำปาง,1,เมือง,ปะเหลียนอง อ่าเก้อ,1,696,443,443,443,28,25,0.6364942528735632,0.06320541760722348,0.056433408577878104
ลำปาง,1,เมือง,ปุณฑาราม,1,763,564,564,494,44,28,0.7391874180865007,0.07801418439716312,0.04964539007092199
ลำปาง,1,เมือง,ปุณณางค์พิมพา,1,133,107,107,100,7,0,0.8045112781954887,0.06542056074766354,0.0
ลำปาง,1,เมือง,ป้อมฮัว,1,499,341,341,311,12,18,0.6833667334669339,0.03519061583577713,0.05278592375366569
ลำปาง,1,เมือง,มานค่า,1,640,397,397,366,25,6,0.6203125,0.06297229219143577,0.015113350125944584
ลำปาง,1,เมือง,ป้อมฮ่อง,1,521,415,415,375,375,27,0.7965451055662188,0.9036144578313253,0.06506024096385542
ลำปาง,1,เมือง,ป้อมเรือง,1,534,421,421,372,16,33,0.7883895131086143,0.03800475059382423,0.07838479809976247
ลำปาง,1,เมือง,ป้อมแก้ว,1,703,480,480,427,19,34,0.6827880512091038,0.03958333333333333,0.07083333333333333
ลำปาง,1,เมือง,ป้อมแพลงคลอง,1,538,402,402,373,12,17,0.7472118959107806,0.029850746268656716,0.04228855721393035
ลำปาง,1,เมือง,ป้อมแพ่ง,1,172,136,136,128,3,5,0.7906976744186046,0.022058823529411766,0.03676470588235294
ลำปาง,1,เมือง,ป้อมแพ้ว,1,678,480,480,449,13,16,0.7079646017699115,0.027083333333333334,0.03333333333333333
ลำปาง,1,กำแพงเพชร,เมืองพิมล,1,672,436,436,397,39,12,0.6488095238095238,0.08944954128440367,0.027522935779816515
ลำปาง,1,เมือง,พระบาทฯ,1,536,343,343,312,11,20,0.6399253731343284,0.03206997084548105,0.05830903790087463
ลำปาง,1,เมือง,พระยา,1,436,292,292,251,73,18,0.6697247706422018,0.25,0.06164383561643835
ลำปาง,1,เมือง,พลนาท,1,487,318,318,299,6,13,0.6529774127310062,0.018867924528301886,0.040880503144654086
ลำปาง,1,เมือง,พะยูมา,1,499,316,316,293,4,19,0.6332665330661322,0.012658227848101266,0.060126582278481014
ลำปาง,1,เมือง,สามย่าน,1,464,383,383,294,16,13,0.8254310344827587,0.04177545691906005,0.033942558746736295
ลำปาง,1,เมือง,สามยุ่ง,1,519,335,335,307,9,19,0.6454720616570327,0.026865671641791045,0.056716417910447764
ลำปาง,1,เมือง,หมู่ที่ 16,1,720,520,520,492,11,17,0.7222222222222222,0.021153846153846155,0.032692307692307694
ลำปาง,1,เมือง,สำราญ,1,68,47,423,384,19,20,0.6911764705882353,0.40425531914893614,0.425531914893617
ลำปาง,1,เมืองลำปาง,นครลำปาง,1,390,187,187,184,3,3,0.4794871794871795,0.016042780748663103,0.016042780748663103
ลำปาง,1,เมืองลำปาง,น่าเข้าฯ,1,730,531,531,487,13,3,0.7273972602739726,0.02448210922787194,0.005649717514124294
ลำปาง,1,เมืองลำปาง,บ้านค่ำ,1,360,259,259,239,16,4,0.7194444444444444,0.06177606177606178,0.015444015444015444
ลำปาง,1,เมืองลำปาง,ปองฮัว,1,236,182,182,165,14,3,0.7711864406779662,0.07692307692307693,0.016483516483516484
ลำปาง,1,เมืองลำปาง,ปะเหล็ง,1,387,348,387,348,14,25,0.8992248062015504,0.040229885057471264,0.07183908045977011
ลำปาง,1,เมืองลำปาง,ปุณฑารามฯ,1,589,410,410,410,35,35,0.6960950764006791,0.08536585365853659,0.08536585365853659
ลำปาง,1,เมืองลำปาง,ป่าเป้า,1,500,362,362,336,9,17,0.724,0.024861878453038673,0.04696132596685083
ลำปาง,1,เมืองลำปาง,ป้อมเจ้าหลวงกระซ่าเกอ,1,873,616,676,548,21,41,0.7056128293241696,0.03409090909090909,0.06655844155844155
ลำปาง,1,เมืองลำปาง,ฝั่งฝ่าย,1,86,60,609,513,51,45,0.6976744186046512,0.85,0.75
ลำปาง,1,เมืองลำปาง,พระบาท,1,641,407,407,386,4,17,0.6349453978159126,0.009828009828009828,0.04176904176904177
ลำปาง,1,เมืองลำปาง,พุทธบาท,1,401,274,294,248,14,32,0.683291770573566,0.051094890510948905,0.11678832116788321
ลำปาง,1,เมืองลำปาง,ม้านา,1,20,17,178,163,7,8,0.85,0.4117647058823529,0.47058823529411764
ลำปาง,1,เมืองลำปาง,สพป.,1,65,402,407,407,20,35,6.184615384615385,0.04975124378109453,0.08706467661691543
ลำปาง,1,เมืองลำปาง,สำโรงซ้าย,1,660,459,459,382,73,48,0.6954545454545454,0.15904139433551198,0.10457516339869281
ลำปาง,1,เมืองลำปาง,สุขชัย,1,571,372,372,347,7,18,0.6514886164623468,0.01881720430107527,0.04838709677419355
ลำปาง,1,เมืองลำปาง,หนองคาย,1,487,328,328,309,5,24,0.6735112936344969,0.01524390243902439,0.07317073170731707
ลำปาง,1,กำแพงเพชร,ปอดดาล,1,640,473,473,425,17,31,0.7390625,0.035940803382663845,0.06553911205073996
ลำปาง,1,เมืองลิฟาย,คลองจั่ย,1,682,498,478,406,39,35,0.7302052785923754,0.0783132530120482,0.07028112449799197
