sha256,changwat,constituency,polling_station,amphoe,tambon,rank1_votes,rank2_votes,vote_margin,margin_rate
36c8122012e366f9ef0e8c7b7d6e99eddc14d47d31df9a437f5288378fe5c64d,ลำปาง,1,2,เมือง,มานตา,172,172,0,0.0
e0283cd4e2320bdd119236a8917f14ed6acf256f13c67c6afbb6b7bcb9e3c8b6,ลำปาง,1,8,เมือง,ยุพานาคพัฒนา,46,45,1,0.021739130434782608
c23969de3763646f3d19207798722f8218f20339711c21b41b8fce172e1e15b4,ลำปาง,1,1,เขตเลือกตั้งที่ 1,โรงเรียน เหรียญดุษฎี กิตติฯ,4,3,1,0.25
f61107e3798abc18f036d6d0bf5900c8fb5ac631200c0e0f8a63532e8847a84d,ลำปาง,1,14,ห้างฉัตร,เชิงตาล,163,162,1,0.006134969325153374
04f40d7e5403533a53ad2ab0e29126bf8593f845e0a93df07488f982ddf23ee3,ลำปาง,1,14,เมือง,บ้านเอื้อม,98,97,1,0.01020408163265306
7858339e0c53929496e2f002584eb3593946238d0ac729e02bcbc326a64ad1ff,ลำปาง,1,7,เมืองลำปาง,ม้านา,70,69,1,0.014285714285714285
371498078a21654a7df8224e56f03ae5fb2f62ef1e64a3ae7d7928d06efcfc8f,ลำปาง,1,9,หัวมิตร,นำมากล,78,76,2,0.02564102564102564
d66c6a5e546280231950978436195497af680eb23efff74043c1cba0503eb1f7,ลำปาง,1,3,เชียง,สิคมพัฒนา,82,80,2,0.024390243902439025
d704962234b196a129b2db64f081f7edb2b120e693c2a45a72c8a7e6798e5f18,ลำปาง,1,19,เมือง,แก้วเจียจ่า,79,77,2,0.02531645569620253
4d85d62b548cec0226c925edb2726a57b8ccf43fb40c563230aee6ec59261606,ลำปาง,1,2,หัวเมือง,วอแก้ว,80,77,3,0.0375
1374343ef3ee9734c8a7e1697a1bc569522589882e2353d79f034285d3ae52a0,ลำปาง,1,55,เมือง,สุขใจ,107,104,3,0.028037383177570093
1ea7cb30a2c09996218670ac2e0c2c4c052cbd401e875ee82cf24191bc84a6e7,ลำปาง,1,8,อำเภอเมือง,เมืองฯ,112,109,3,0.026785714285714284
