sha256,voting_type,station_id,tambon,amphoe,changwat,constituency,polling_station,election_date,voters_registered,voters_present,ballots_allocated,ballots_used,ballots_valid,ballots_invalid,ballots_no_vote,ballots_remaining,total_votes,validation_passed,turnout_rate,valid_rate,invalid_rate,no_vote_rate
03e9067a33b6cb9f39d8447cecedc3cdf1ce2e2945cf2c6df53474f918ba4303,election_day,,ฝั่งฝ่าย,เมืองลำปาง,ลำปาง,1,10,2026-02-28,86,60,840,609,513,51,45,291,513,False,0.6976744186046512,8.55,0.85,0.75
04064c739bb309b8835c6af157d6ad1cf94144b35994c83b7160cee3a92283e2,election_day,,เมืองตาล,ทางเข้า,ลำปาง,1,6,2026-02-28,50,38,500,381,333,13,35,107,333,False,0.76,8.763157894736842,0.34210526315789475,0.9210526315789473
049c9f74ec9652571bf1e6400aa1f9f19df0aef7e90bbc8957b17b84e816f297,election_day,,น่าเข้าฯ,เมืองลำปาง,ลำปาง,1,4,2026-02-28,730,531,680,531,487,13,3,149,487,False,0.7273972602739726,0.9171374764595104,0.02448210922787194,0.005649717514124294
06e957a45b33ef48362893252df010d1b3c2050801ce3b5555d412274e9c392a,election_day,,สำราญ,เชื่อมลำปลา,ลำปาง,1,22,2026-02-28,528,356,460,356,332,87,28,104,332,False,0.6742424242424242,0.9325842696629213,0.2443820224719101,0.07865168539325842
1c11a72209b392cbcecaff9d94339586c50d3d44561e86772c305ea1d1d27f15,election_day,,เลของคาว,ห้างจักร,ลำปาง,1,11,2026-02-28,490,260,380,260,239,710,11,120,239,False,0.5306122448979592,0.9192307692307692,2.730769230769231,0.04230769230769231
3390e60c0797905b6ac7b85c7ad90635e2119c9f685f18019747eecf773112a5,election_day,,คันธรวย,เมือง,ลำปาง,1,4,2026-02-08,651,450,620,450,396,27,27,170,396,False,0.6912442396313364,0.88,0.06,0.06
3618f3b07935ef129a9acf610a703b457c86568dbefd7ad2f71404aeb3c3551c,election_day,,ป้อมแพ่ง,เมือง,ลำปาง,1,12,2026-02-28,172,136,180,136,128,3,5,44,128,False,0.7906976744186046,0.9411764705882353,0.022058823529411766,0.03676470588235294
37267c6d8b6d7f433f1467e2b52876496cb72afd2887c0a8d0a38ef3d7f8902a,advance,,,,ลำปาง,1,1478,2026-02-28,760,760,760,760,727,0,33,0,727,False,1.0,0.9565789473684211,0.0,0.04342105263157895
39b8ed1299b3339fd9f8d43d198a42f662314f2e4bac0aba2f265044a2583379,election_day,,คันธรพย์,เมืองลำปาง,ลำปาง,1,19,2026-02-28,631,409,580,449,412,8,29,131,412,False,0.6481774960380349,1.0073349633251834,0.019559902200488997,0.07090464547677261
3b6dffaa888ccd263e36e97f94ce5a6fa0b916a9de58b9f58fa78070230b3550,election_day,,หนองเหลม,หัวลังค์ครู,ลำปาง,1,2,2026-02-28,340,265,340,265,252,6,7,75,252,False,0.7794117647058824,0.9509433962264151,0.022641509433962263,0.026415094339622643
