constituency,party_number,party_name,total_votes,avg_votes_per_station,max_votes_in_station,station_count,vote_share
1,46,ประชาชน,37374,129.32179930795849,575,289,0.3699919812301387
1,9,เพื่อไทย,20531,71.53658536585365,188,287,0.20325106669438586
1,37,ภูมิใจไทย,10962,37.670103092783506,295,291,0.1085206854563274
1,27,ประชาธิปัตย์,4354,14.860068259385665,89,293,0.04310336293348381
1,11,เศรษฐกิจ,2818,9.650684931506849,95,292,0.02789739934463881
1,2,เพื่อชาติไทย,2078,7.190311418685121,398,289,0.02057160959480463
1,6,รวมไทยสร้างชาติ,1905,6.591695501730104,29,289,0.018858958747883937
1,57,พลังไทยรักชาติ,1599,5.532871972318339,443,289,0.015829645689168722
1,4,มิติใหม่,1400,4.827586206896552,87,290,0.013859602229416016
1,8,ประชาธิปไตยใหม่,1396,4.813793103448276,97,290,0.013820003365903399
1,45,เป็นธรรม,1252,4.244067796610169,189,295,0.01239444427944918
1,1,ไทยทรัพย์ทวี,1200,4.137931034482759,340,290,0.011879659053785156
1,47,ประชาไทย,817,2.7789115646258504,547,294,0.008088067872452061
1,13,รวมพลังประชาชน,801,2.7244897959183674,69,294,0.007929672418401592
1,42,กล้าธรรม,794,2.7006802721088436,77,294,0.007860374407254511
1,10,ทางเลือกใหม่,775,2.6816608996539792,140,289,0.00767227980556958
1,3,ใหม่,747,2.558219178082192,142,292,0.00739508776098126
1,29,ไทยภักดี,690,2.363013698630137,22,292,0.006830803955926465
1,5,รวมใจไทย,686,2.357388316151203,114,291,0.006791205092413848
1,48,ไทยสร้างไทย,678,2.298305084745763,38,295,0.006712007365388613
1,36,ไทยพร้อม,646,2.1824324324324325,96,296,0.006395216457287676
1,49,ไทยก้าวใหม่,574,1.9590443686006827,26,293,0.005682436914060567
1,7,พลวัต,545,1.8664383561643836,270,292,0.005395345153594092
1,12,เสรีรวมไทย,510,1.7346938775510203,37,294,0.005048855097858691
1,44,โอกาสใหม่,360,1.2244897959183674,77,294,0.003563897716135547
1,38,พลังธรรมใหม่,352,1.1972789115646258,22,294,0.0034846999891103127
1,16,พลังเพื่อไทย,326,1.1050847457627118,17,295,0.0032273073762783006
1,17,ไทยชนะ,306,1.0408163265306123,70,294,0.003029313058715215
1,26,คลองไทย,302,1.023728813559322,33,295,0.0029897141952025977
1,28,ไทยก้าวหน้า,300,1.023890784982935,81,293,0.002969914763446289
1,43,พลังประชารัฐ,245,0.8333333333333334,77,294,0.0024254303901478026
1,56,เพื่อบ้านเมือง,240,0.821917808219178,104,292,0.0023759318107570314
1,33,ประชาชาติ,225,0.7679180887372014,26,293,0.0022274360725847166
1,35,รักชาติ,221,0.7568493150684932,72,292,0.0021878372090720997
1,31,ประชากรไทย,205,0.6972789115646258,24,294,0.002029441755021631
1,32,ครูไทยเพื่อประชาชน,196,0.6644067796610169,43,295,0.0019403443121182422
1,30,แรงงานสร้างชาติ,193,0.658703071672355,23,293,0.0019106451644837793
1,14,ท้องที่ไทย,176,0.6006825938566553,89,293,0.0017423499945551564
1,34,สร้างอนาคตไทย,176,0.6006825938566553,37,293,0.0017423499945551564
1,40,ไทยธรรม,160,0.54421768707483,77,294,0.0015839545405046875
1,39,กรีน,155,0.5272108843537415,77,294,0.001534455961113916
1,51,พร้อม,142,0.48299319727891155,77,294,0.0014057596546979102
1,24,วิชชั่นใหม่,135,0.45918367346938777,17,294,0.0013364616435508302
1,53,ไทยพิทักษ์ธรรม,133,0.4523809523809524,77,294,0.0013166622117945215
1,15,อนาคตไทย,130,0.44368600682593856,7,293,0.0012869630641600587
1,55,ไทยรวมไทย,130,0.4452054794520548,77,292,0.0012869630641600587
1,41,แผ่นดินธรรม,126,0.42857142857142855,77,294,0.0012473642006474415
1,52,เครือข่ายชาวนาแห่งประเทศไทย,122,0.41496598639455784,77,294,0.0012077653371348241
1,19,สังคมประชาธิปไตยไทย,113,0.38305084745762713,17,295,0.0011186678942314355
1,54,ความหวังใหม่,111,0.37755102040816324,77,294,0.001098868462475127
1,50,ประชาอาสาชาติ,102,0.3469387755102041,77,294,0.0010097710195717383
1,23,ปวงชนไทย,94,0.3197278911564626,16,294,0.0009305732925465039
1,21,ไทรวมพลัง,87,0.29591836734693877,14,294,0.0008612752813994238
1,25,เพื่อชีวิตใหม่,85,0.2901023890784983,18,293,0.0008414758496431153
1,18,พลังสังคมใหม่,79,0.2687074829931973,11,294,0.0007820775543741895
1,20,ฟิวซัน,79,0.2687074829931973,13,294,0.0007820775543741895
1,22,ก้าวล่วง,75,0.25510204081632654,15,294,0.0007424786908615722
