ประเภทข้อมูล,อันดับ,ชื่อผู้สมัคร,หมายเลข,พรรค,คะแนน,คะแนนร้อยละ,ประเภทบัตร
ผู้สมัคร,1,ทิพา ปวีณาเสถียร,8,ก้าวไกล,51579,46.07,
ผู้สมัคร,2,กิตติกร โล่ห์สุนทร,5,เพื่อไทย,34747,31.03,
ผู้สมัคร,3,ระพีพรรณ โพธิ์ทอง,2,พลังประชารัฐ,8808,7.86,
ผู้สมัคร,4,เจษฎา ฟูกุล,6,รวมไทยสร้างชาติ,7207,6.43,
ผู้สมัคร,5,จินณ์ ถาคำฟู,9,ภูมิใจไทย,3994,3.56,
ผู้สมัคร,6,ธนิตศักดิ์ ทวีพรจิรภาคย์,11,ประชาธิปัตย์,1361,1.21,
ผู้สมัคร,7,ชัยวัฒน์ เชื้อสกุล,1,ไทยสร้างไทย,1126,1.00,
ผู้สมัคร,8,พนมเธียร ศิระธนรักษ์,3,เสรีรวมไทย,1081,0.96,
ผู้สมัคร,9,ณรงค์ จันทราช,7,เพื่อชาติไทย,587,0.52,
ผู้สมัคร,10,อรหันต์ คันใจ,10,ชาติพัฒนากล้า,571,0.51,
ผู้สมัคร,11,สายัณห์ ใหม่ทา,12,ไทยศรีวิไลย์,478,0.42,
ผู้สมัคร,12,ธมลวรรณ จินากุล,4,เพื่อชาติ,406,0.36,
