อันดับ,พรรค,หมายเลข,คะแนน,คะแนนร้อยละ
1,ก้าวไกล,31,52919,43.89
2,เพื่อไทย,29,38140,31.63
3,รวมไทยสร้างชาติ,22,10191,8.45
4,เสรีรวมไทย,25,1565,1.30
5,พลังประชารัฐ,37,1207,1.00
6,ประชาธิปัตย์,26,1160,0.96
7,พลังสังคมใหม่,5,941,0.78
8,ภูมิใจไทย,7,924,0.77
9,ประชาธิปไตยใหม่,2,847,0.70
10,แรงงานสร้างชาติ,8,589,0.49
11,ไทยสร้างไทย,32,564,0.47
12,พลัง,9,395,0.33
13,เพื่อชาติไทย,36,378,0.31
14,ชาติพัฒนากล้า,14,348,0.29
15,ภาคีเครือข่ายไทย,19,247,0.20
16,ใหม่,1,246,0.20
17,ไทยภักดี,21,226,0.19
18,ครูไทยเพื่อประชาชน,6,225,0.19
19,ประชากรไทย,63,220,0.18
20,ไทยพร้อม,28,215,0.18
21,ไทยรวมไทย,12,195,0.16
22,ชาติไทยพัฒนา,18,174,0.14
23,ทางเลือกใหม่,30,171,0.14
24,เพื่อชาติ,24,147,0.12
25,พลังเพื่อไทย,57,146,0.12
26,เป็นธรรม,3,144,0.12
27,ประชาชาติ,11,137,0.11
28,อนาคตไทย,10,125,0.10
29,ไทยศรีวิไลย์,42,124,0.10
30,เปลี่ยน,20,122,0.10
31,เพื่อไทรวมพลัง,38,122,0.10
32,รวมใจไทย,23,119,0.10
33,มิติใหม่,39,117,0.10
34,ท้องที่ไทย,4,110,0.09
35,ไทยก้าวหน้า,55,104,0.09
36,ไทยชนะ,13,91,0.08
37,เปลี่ยนอนาคต,65,84,0.07
38,รวมพลัง,35,75,0.06
39,รวมแผ่นดิน,47,71,0.06
40,พลังธรรมใหม่,27,69,0.06
41,ประชาไทย,56,68,0.06
42,กรีน,15,53,0.04
43,รักษ์ผืนป่าประเทศไทย,49,49,0.04
44,ไทยธรรม,41,39,0.03
45,เพื่ออนาคตไทย,48,38,0.03
46,ช่วยชาติ,59,36,0.03
47,พลังสหกรณ์,43,35,0.03
48,แผ่นดินธรรม,34,32,0.03
49,ประชาภิวัฒน์,40,30,0.02
50,สังคมประชาธิปไตยไทย,58,30,0.02
51,พลังไทยรักชาติ,62,28,0.02
52,เส้นด้าย,64,28,0.02
53,พลังสังคม,53,27,0.02
54,ไทยเป็นหนึ่ง,33,26,0.02
55,ไทยสมาร์ท,67,26,0.02
56,เสมอภาค,17,25,0.02
57,พลังประชาธิปไตย,66,22,0.02
58,พลังสยาม,16,21,0.02
59,สามัญชน,51,20,0.02
60,ถิ่นกาขาวชาววิไล,46,19,0.02
61,ความหวังใหม่,60,18,0.01
62,แนวทางใหม่,45,15,0.01
63,คลองไทย,61,15,0.01
64,พลังปวงชนไทย,50,14,0.01
65,ราษฎร์วิถี,44,13,0.01
66,ภราดรภาพ,54,12,0.01
67,ชาติรุ่งเรือง,52,10,0.01
